,country,date,Population,GDP,Population_Growth,Physicians_per1000,HIV_Incidence,Land_area,Literacy_rate,Hospital_beds_per1000,Government_health_expenditure,Prevalence_underweight_under5,Infant_mortality_per1000,Maternal_mortality_per100000,Life_expectancy,Adult_obesity,HIV_Prevalence,Fertility_rate,Female_Population,Male_Population,Population_65+,Population_age_0to14,Population_15to64,Death_per1000,Income_level,Region,Codes
0,Afghanistan,2016,35383128.0,509.218661332126,2.77831740938728,0.2782,0.07,652860.0,,0.5,10.96199989,,51.3,673.0,63.763,23.0,0.1,4.8,48.5996676146541,51.4003323853459,891627.0,15664859.0,18826642.0,6.742,LIC,South Asia,AFG
2,Albania,2016,2876101.0,4124.05572595352,-0.159880412127734,1.2164,0.06,27400.0,,,4.91601992,,8.4,16.0,78.194,57.7,0.1,1.659,49.0529987420434,50.9470012579566,372634.0,528734.0,1974734.0,7.534,LMY,Europe and Central Asia,ALB
4,Algeria,2016,40551404.0,3945.48208133854,2.05135458384022,1.8325,0.08,2381741.0,,,6.60778189,,21.3,113.0,76.298,62.0,0.1,3.052,49.4915045838864,50.5084954161137,2436321.0,11814429.0,26300654.0,4.717,LMC,Middle East and North Africa,DZA
6,American Samoa,2016,55741.0,11696.9555623329,-0.127293769933909,,,200.0,,,,,,,,,,,,,,,,,LMY,East Asia and Pacific,ASM
8,Andorra,2016,77297.0,37474.6654057245,-0.91946973790053,,,470.0,,,6.34349346,,3.2,,,63.7,,,,,,,,4.3,HIC,Europe and Central Asia,AND
10,Angola,2016,28842484.0,3506.07288506966,3.37827278015957,,1.54,1246700.0,,,2.71314979,,55.6,246.0,59.925,27.5,1.9,5.686,50.5370064892474,49.4629935107526,652134.0,13571356.0,14618994.0,8.716,LMC,Sub-saharan Africa,AGO
12,Antigua and Barbuda,2016,94527.0,15197.6174551735,1.02184383470454,,,440.0,,3.01,5.12190151,,6.5,43.0,76.617,48.0,,2.003,51.8429961912823,48.1570038087177,7903.0,21181.0,65443.0,6.27,HIC,Latin America and Caribbean,ATG
14,Arab World,2016,404024435.0,6112.1059534046,2.01908738446197,,0.0733145997723155,13081769.201,74.8407974243164,2.07354444137218,5.00986609404757,,27.6272887802845,152.0,71.4364968537757,61.8428866901277,0.11892977674646,3.32246533147491,48.2404119981043,51.7595880018957,17674286.0,133190635.0,253159513.0,5.45121782486498,INX,Arab World,Arab World
16,Argentina,2016,43590368.0,12790.2424732447,1.05718157762752,4.0013,0.25,2736690.0,99.1250076293945,4.95,9.00189686,,9.7,40.0,76.221,62.7,0.4,2.288,51.2609743314513,48.7390256685487,4733904.0,10932227.0,27924237.0,7.626,LMY,Latin America and Caribbean,ARG
18,Armenia,2016,2936146.0,3591.82927553023,0.361431439301066,,0.11,28470.0,,,9.95195866,2.6,12.2,26.0,74.64,54.4,0.2,1.744,52.9650933689628,47.0349066310372,322351.0,594870.0,2018925.0,9.849,LMY,Europe and Central Asia,ARM
20,Aruba,2016,104872.0,28281.35048163,0.507617729505083,,,180.0,,,,,,,75.868,,,1.872,52.4903447289372,47.5096552710628,13219.0,19147.0,72506.0,8.765,HIC,Latin America and Caribbean,ABW
22,Australia,2016,24190907.0,49971.131456129,1.56194049810399,3.5672,0.08,7692020.0,,3.84,9.20071316,,3.2,6.0,82.4487804878049,64.5,0.1,1.752,50.1894718273433,49.8105281726567,3662774.0,4584735.0,15943398.0,6.6,HIC,East Asia and Pacific,AUS
24,Austria,2016,8736668.0,45276.8314351693,1.08139629872802,5.1234,,82520.0,,7.42,10.3522625,,3.0,5.0,81.6414634146342,54.3,,1.53,50.9780954273236,49.0219045726764,1652029.0,1238043.0,5846595.0,9.2,HIC,Europe and Central Asia,AUT
26,Azerbaijan,2016,9757812.0,3880.73873089556,1.11785721013911,,0.11,82670.0,99.7900619506836,,4.03655434,,21.8,26.0,72.493,53.6,0.1,1.9,50.1960704561536,49.8039295438464,569419.0,2257698.0,6930695.0,5.8,LMY,Europe and Central Asia,AZE
28,"Bahamas, The",2016,377931.0,31562.6397411168,0.990519135690286,,,10010.0,,,5.61615086,,11.7,72.0,73.329,64.4,,1.771,51.4512215451296,48.5487784548704,25983.0,88258.0,263690.0,6.689,HIC,Latin America and Caribbean,BHM
30,Bahrain,2016,1425791.0,22608.484275925,3.85658246125791,,,779.0,97.0666809082031,1.89,4.85823059,,6.3,15.0,76.899,65.8,,2.033,37.7933542947679,62.2066457052321,33399.0,290718.0,1101674.0,2.355,HIC,Middle East and North Africa,BHR
32,Bangladesh,2016,157970840.0,1401.62062821515,1.0913004822347,0.4974,,130170.0,72.7587203979492,0.79,2.31178045,,29.3,186.0,71.785,20.0,,2.09,49.328805151069,50.671194848931,8112772.0,45421456.0,104436612.0,5.539,LMC,South Asia,BGD
34,Barbados,2016,285796.0,16900.166552366,0.165289293829959,,0.37,430.0,,5.89,6.68155098,,12.7,30.0,78.888,52.4,0.9,1.613,51.7484377077516,48.2515622922484,42989.0,51306.0,191501.0,8.865,HIC,Latin America and Caribbean,BRB
36,Belarus,2016,9501534.0,5022.62664330491,0.125511109801562,,0.43,202988.0,,,5.91054153,,2.9,3.0,73.8268292682927,59.4,0.4,1.733,53.4605391398654,46.5394608601346,1369717.0,1569097.0,6562720.0,12.6,LMY,Europe and Central Asia,BLR
38,Belgium,2016,11331422.0,41984.1030335609,0.506300002451376,3.0679,,30280.0,,5.76,10.28172588,,3.1,5.0,81.4390243902439,59.5,,1.68,50.7786624171566,49.2213375828434,2081793.0,1928234.0,7321395.0,9.5,HIC,Europe and Central Asia,BEL
40,Belize,2016,368400.0,4818.40390879479,2.04769588411266,,,22810.0,,1.22,6.04090405,,12.5,39.0,74.219,54.8,,2.391,50.1214715566546,49.8785284433454,16617.0,116133.0,235650.0,4.65,LMY,Latin America and Caribbean,BLZ
42,Benin,2016,10872067.0,1087.28783152256,2.76140949283081,0.0481,0.6,112760.0,,,2.78015947,,63.0,408.0,60.885,29.5,1.1,4.977,50.1422635906017,49.8577364093983,351768.0,4660439.0,5859860.0,9.18,LMC,Sub-saharan Africa,BEN
44,Bermuda,2016,64554.0,106885.878489327,-1.0469518831338,,,54.0,,,,,,,81.2270731707317,,,1.61,,,,,,8.0,HIC,North America,BMU
46,Bhutan,2016,736709.0,2930.56298891838,1.20622662373157,0.4059,,38144.0,,,3.48117137,,26.4,193.0,70.781,27.1,,2.014,47.1688841953235,52.8311158046765,43043.0,197015.0,496651.0,6.248,LMC,South Asia,BTN
48,Bolivia,2016,11031813.0,3076.65894989886,1.4801327840246,1.5901,0.16,1083300.0,,1.27,6.83333063,3.4,23.9,161.0,70.626,56.1,0.2,2.829,49.7515732215404,50.2484267784596,761264.0,3528354.0,6742195.0,6.834,LMC,Latin America and Caribbean,BOL
50,Bosnia and Herzegovina,2016,3386267.0,4994.68314045091,-1.26458117389827,,,51200.0,,,9.22786236,,5.3,10.0,76.998,53.3,,1.286,50.9865890511162,49.0134109488838,510596.0,505271.0,2370400.0,10.427,LMY,Europe and Central Asia,BIH
52,Botswana,2016,2159944.0,7243.87025286676,1.83285279210013,0.5269,9.61,566730.0,,,5.56052208,,33.0,151.0,68.178,43.4,21.9,2.942,51.8634211836059,48.1365788163941,85471.0,749812.0,1324661.0,6.0,LMY,Sub-saharan Africa,BWA
54,Brazil,2016,206163058.0,8710.09668954121,0.823748231993439,,,8358140.0,92.8084411621094,2.11,9.20742226,,14.6,62.0,75.23,56.5,0.5,1.747,50.7912843511594,49.2087156488406,17115012.0,45457971.0,143590074.0,6.311,LMY,Latin America and Caribbean,BRA
56,British Virgin Islands,2016,29355.0,,0.693936843860153,,,150.0,,,,,,,,,,,,,,,,,HIC,Latin America and Caribbean,VGB
58,Brunei Darussalam,2016,419800.0,27157.8234104784,1.17240086547234,,,5270.0,,2.76,2.54828691,,9.0,31.0,75.45,41.2,,1.915,47.9798280572952,52.0201719427048,18054.0,100263.0,301483.0,4.251,HIC,East Asia and Pacific,BRN
60,Bulgaria,2016,7127822.0,7548.85500737534,-0.701382097841331,,0.07,108560.0,,7.27,7.4799428,,6.5,10.0,74.8121951219512,61.7,0.1,1.54,51.3809664164225,48.6190335835775,1456167.0,1020446.0,4651208.0,15.1,LMY,Europe and Central Asia,BGR
